aX,aY,aZ,gX,gY,gZ
-0.254,0.717,-0.654,-1.221,-10.254,-2.502
-0.289,0.692,-0.610,-1.831,-8.545,-2.808
-0.314,0.677,-0.595,-1.770,-2.625,-0.122
-0.319,0.654,-0.615,1.343,2.502,3.662
-0.317,0.662,-0.649,4.700,3.601,7.019
-0.303,0.676,-0.694,7.141,3.113,9.216
-0.292,0.696,-0.732,7.568,3.540,10.681
-0.275,0.721,-0.755,6.409,4.028,12.146
-0.242,0.731,-0.769,4.761,4.944,13.733
-0.215,0.741,-0.753,1.343,5.981,14.526
-0.180,0.753,-0.726,-1.343,6.531,14.648
-0.150,0.764,-0.708,-2.502,6.042,13.855
-0.136,0.766,-0.701,-2.319,4.517,11.597
-0.133,0.757,-0.700,-2.197,2.563,7.996
-0.138,0.751,-0.690,-3.296,0.977,4.395
-0.141,0.740,-0.674,-4.822,-0.183,0.854
-0.150,0.732,-0.659,-4.944,-2.014,-2.380
-0.156,0.719,-0.652,-4.700,-4.211,-4.639
-0.174,0.714,-0.638,-4.395,-5.676,-7.080
-0.198,0.718,-0.621,-3.784,-7.202,-10.010
-0.219,0.730,-0.615,-2.563,-8.728,-12.085
-0.232,0.744,-0.620,-1.038,-9.155,-13.306
-0.249,0.761,-0.639,0.305,-8.545,-14.160
-0.265,0.788,-0.677,1.587,-7.080,-14.648
-0.245,0.848,-0.721,2.441,-5.615,-16.113
-0.253,0.919,-0.761,1.404,-4.395,-16.846
-0.252,0.975,-0.797,0.122,-3.906,-20.935
-0.278,1.052,-0.836,-1.770,-5.615,-26.428
-0.293,1.085,-0.851,-3.418,-9.521,-31.494
-0.263,1.099,-0.845,-5.371,-14.099,-36.926
-0.239,1.174,-0.806,-11.169,-16.602,-41.199
-0.182,1.245,-0.767,-20.203,-14.832,-47.791
-0.155,1.273,-0.719,-30.457,-10.193,-55.725
-0.177,1.319,-0.654,-40.955,-6.775,-66.406
-0.250,1.367,-0.591,-50.781,-4.211,-77.454
-0.389,1.419,-0.546,-56.274,-4.639,-86.121
-0.506,1.404,-0.529,-55.908,-8.118,-92.773
-0.635,1.441,-0.528,-57.007,-12.634,-92.773
-0.717,1.460,-0.501,-61.157,-15.381,-83.618
-0.740,1.487,-0.506,-70.007,-14.282,-71.899
-0.762,1.513,-0.512,-85.693,-6.348,-62.439
-0.748,1.576,-0.494,-102.783,1.709,-54.626
-0.688,1.596,-0.463,-116.150,4.761,-46.326
-0.645,1.627,-0.387,-126.770,2.319,-40.649
-0.630,1.654,-0.317,-133.057,-5.188,-39.795

0.217,0.177,-0.988,2.014,3.723,-1.160
0.228,0.168,-0.996,1.892,4.822,-1.526
0.238,0.155,-1.006,1.892,5.859,-1.343
0.252,0.142,-1.015,1.648,6.348,-0.977
0.268,0.120,-1.022,1.648,7.202,-1.099
0.286,0.099,-1.034,1.465,8.057,-1.465
0.307,0.077,-1.053,1.404,8.972,-1.953
0.328,0.046,-1.073,1.404,10.071,-2.380
0.353,0.012,-1.090,0.732,11.719,-2.625
0.385,-0.028,-1.100,-0.366,13.367,-2.869
0.416,-0.076,-1.103,-0.916,14.954,-3.662
0.446,-0.136,-1.110,-0.366,17.395,-5.615
0.465,-0.209,-1.121,1.526,19.104,-9.399
0.477,-0.293,-1.133,4.761,19.592,-13.794
0.489,-0.392,-1.129,8.301,19.714,-17.334
0.496,-0.495,-1.111,12.146,20.569,-21.484
0.488,-0.595,-1.095,18.494,22.034,-26.367
0.477,-0.692,-1.084,27.954,22.888,-31.738
0.449,-0.754,-1.080,37.964,23.926,-34.912
0.400,-0.798,-1.079,47.546,26.184,-32.776
0.381,-0.850,-1.068,56.396,28.870,-27.283
0.345,-0.827,-1.056,62.317,31.982,-20.081
0.335,-0.828,-1.046,68.970,36.987,-8.118
0.336,-0.793,-1.051,74.646,41.992,4.150
0.368,-0.742,-1.082,78.796,47.607,15.503
0.400,-0.690,-1.118,80.566,52.490,23.560
0.424,-0.641,-1.146,78.674,54.321,25.940
0.416,-0.592,-1.131,74.219,50.537,24.170
0.391,-0.562,-1.088,69.458,41.016,18.799
0.350,-0.597,-1.017,66.589,26.794,9.766
0.234,-0.573,-0.901,64.026,9.338,-3.540
